stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
12,0.012,4,600,-0.1687857867884071,-0.01353593163348399,-3.351479586142332e-28,-8.778140669500433e-15,-1208375153.184801,-100114928.9305222,-878234931.3621858
12,0.012,5,600,-6.774324304705153e-28,-3.162291816029237e-28,3.351479586142334e-28,1.758980996831767e-15,-2352147372.524717,-2113981778.626392,878234931.362186
12,0.012,6,600,0.00749202875581978,0.2141490415422921,3.351479586142331e-28,-3.357238348935232e-15,1208375153.184801,100114928.9305209,878234931.3621858
12,0.012,7,600,-0.1612937580325873,0.2006131099088082,3.351479586142332e-28,1.029842893443973e-14,2352147372.524717,2113981778.626392,878234931.3621854
12,0.012,8,600,-0.1687857867884071,-0.01353593163348399,3.351479586142329e-28,2.842331482118214e-15,-1208375153.184801,-100114928.9305221,878234931.3621861
13,0.013,1,600,-6.40666434342139e-28,-3.853078159832672e-28,-3.351479586142401e-28,5.205764190514295e-15,-2118290796.413145,-2348267515.482561,-878234931.3621808
13,0.013,2,600,-0.02041178821599188,0.3182875042061958,-3.351479586142401e-28,6.387881789418732e-15,1191290687.99001,225876086.6878694,-878234931.3621807
13,0.013,3,600,-0.2913865219391332,0.2817047002763473,-3.351479586142406e-28,-1.063575881425426e-14,2118290796.413143,2348267515.482561,-878234931.3621807
13,0.013,4,600,-0.2709747337231412,-0.03658280392984858,-3.351479586142404e-28,-1.250039023013325e-14,-1191290687.990008,-225876086.6878703,-878234931.3621807
13,0.013,5,600,-6.406664343421395e-28,-3.853078159832666e-28,3.351479586142408e-28,-1.954442248493155e-15,-2118290796.413144,-2348267515.482561,878234931.3621809
13,0.013,6,600,-0.02041178821599188,0.3182875042061958,3.351479586142394e-28,1.468001065084738e-14,1191290687.99001,225876086.6878695,878234931.3621804
13,0.013,7,600,-0.2913865219391332,0.2817047002763473,3.351479586142404e-28,-5.566020715740726e-15,2118290796.413143,2348267515.482561,878234931.3621807
13,0.013,8,600,-0.2709747337231412,-0.03658280392984858,3.351479586142397e-28,4.382955377840977e-15,-1191290687.99001,-225876086.6878701,878234931.3621808
14,0.014,1,600,-5.96881162691022e-28,-4.501649373008279e-28,-3.351479586142324e-28,1.007371738276676e-14,-1861225783.055228,-2556825142.032546,-878234931.3621836
14,0.014,2,600,-0.05904817862812106,0.4189387423680742,-3.351479586142321e-28,4.659063067922455e-15,1161154192.724014,349162498.7718463,-878234931.3621836
14,0.014,3,600,-0.4292430033982173,0.3487536657337071,-3.351479586142331e-28,-1.264213802221973e-14,1861225783.055226,2556825142.032547,-878234931.3621835
14,0.014,4,600,-0.3701948247700962,-0.07018507663436713,-3.351479586142335e-28,-1.431211626142129e-14,-1161154192.724011,-349162498.7718472,-878234931.3621832
14,0.014,5,600,-5.968811626910233e-28,-4.501649373008255e-28,3.35147958614233e-28,-4.84706620308461e-15,-1861225783.055228,-2556825142.032547,878234931.3621833
14,0.014,6,600,-0.05904817862812106,0.4189387423680742,3.351479586142336e-28,9.528416440666642e-15,1161154192.724014,349162498.7718466,878234931.3621832
14,0.014,7,600,-0.4292430033982173,0.3487536657337071,3.351479586142328e-28,-1.618180741803345e-15,1861225783.055227,2556825142.032547,878234931.3621835
14,0.014,8,600,-0.3701948247700962,-0.07018507663436713,3.351479586142319e-28,9.158304337173117e-15,-1161154192.724012,-349162498.7718472,878234931.362184
15,0.015,1,600,-5.46556336116062e-28,-5.100899573622641e-28,-3.351479586142355e-28,3.571695665308736e-15,-1583768790.531622,-2737369657.276358,-878234931.3621829
15,0.015,2,600,-0.1079938341020281,0.5149999999999999,-3.351479586142339e-28,-2.863603849643698e-15,1118295849.135388,468623413.4523355,-878234931.362184
