case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D04_MINUS,6,430,0.04,0.016,0.04,25.05443248700321,6264347488.545218,-5142732139.621507,5732498938.980595
D04_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8191493572215,6783104294.842622,5984729494.028273,5906806356.868528
D04_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75644863290152,-6194706243.98597,5289529363.412756,5889479386.997292
D05_PLUS,1,360,6.45497441e-27,5.474974409999999e-27,5.43987697e-27,-142.0776366999899,-6811198279.754562,-5944485444.828901,-5865310716.722751
D05_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39500068555786,6045070121.178644,-5290890429.6075,-5677705883.362687
D05_PLUS,3,445,0.068,0.036,-0.016,21.00261401629533,6728532058.856706,5797419468.969439,-5773397055.156918
D05_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.04027497873226,-6216788281.594791,5098314671.191921,-5772191665.608948
D05_PLUS,5,470,0.012,-0.02,0.056,44.8795325157188,-6598360839.832067,-5791884651.249438,5559821636.889505
D05_PLUS,6,430.001,0.04,0.016,0.04,25.05587896210721,6264347156.630819,-5142731803.515398,5732498607.870117
D05_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188018100238,6783103974.579412,5984729160.461817,5906806026.302929
D05_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75608506013485,-6194705910.064162,5289529028.57806,5889479049.788753
D05_MINUS,1,360,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.0769408572285,-6811198602.383199,-5944485776.566388,-5865311045.246092
D05_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39503762261415,6045070447.509233,-5290890763.888206,-5677706208.66083
D05_MINUS,3,445,0.068,0.036,-0.016,21.00335952358453,6728532383.491814,5797419801.977745,-5773397394.640876
D05_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03953181667997,-6216788610.013943,5098315004.219172,-5772191998.636197
D05_MINUS,5,470,0.012,-0.02,0.056,44.87952270519745,-6598361157.857338,-5791884983.406849,5559821964.803485
D05_MINUS,6,429.999,0.04,0.016,0.04,25.05299582242076,6264347488.39041,-5142732139.464744,5732498938.826168
D05_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188331283942,6783104294.693248,5984729493.872682,5906806356.714343
D05_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75679911692578,-6194706243.830226,5289529363.256588,5889479386.84
D06_PLUS,1,360,6.45497441e-27,5.474974409999998e-27,5.439876969999999e-27,-142.0776280834968,-6811198274.153588,-5944485439.069794,-5865310711.019443
D06_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39537660614279,6045070115.513405,-5290890423.804242,-5677705877.715369
D06_PLUS,3,445,0.068,0.036,-0.016,21.00297253238899,6728532053.220898,5797419463.18827,-5773397049.263328
D06_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.04023528229226,-6216788275.893292,5098314665.410423,-5772191659.827449
D06_PLUS,5,470,0.012,-0.02,0.056,44.87919572244572,-6598360834.311009,-5791884645.483042,5559821631.196775
D06_PLUS,6,430,0.04,0.016,0.04,25.05442173307878,6264347150.871329,-5142731797.683169,5732498602.124575
