step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
S5_PLUS,secondary,5,1e-06,9,37,-0.00488287500000153,61494.32631808385,-3843.395416634577,-0.002733944517875088,-0.002886532447933968
S5_MINUS,secondary,5,-1e-06,1,7,-0.01464837500000482,125578.4279854866,-7848.651828407535,-0.004717430926922879,-0.004971744078363395
S5_MINUS,secondary,5,-1e-06,2,11,-0.01123028141167478,110623.8777456181,-13827.98490993232,-0.000203450559829158,-0.01811938272762686
S5_MINUS,secondary,5,-1e-06,3,15,-0.01269525000000415,110929.9905371818,-6933.124465624801,0.004107079342615521,-0.004564843014450851
S5_MINUS,secondary,5,-1e-06,4,23,-0.008788875143666688,92618.50662500761,-11577.31339188221,-0.01509305605213949,-0.000559489101859206
S5_MINUS,secondary,5,-1e-06,5,25,-0.009032640598538503,89870.36148478482,-22467.59015477079,-0.0008138022947077109,-0.001475016915557739
S5_MINUS,secondary,5,-1e-06,6,27,-0.006835750121555203,77970.06892127078,-9746.258632159219,0.01265164969299269,-0.0005594890918860017
S5_MINUS,secondary,5,-1e-06,7,33,-0.006835875000002263,76139.95116978865,-4758.746930052763,-0.003344139805891636,0.00329327713868466
S5_MINUS,secondary,5,-1e-06,8,35,-0.008300593635249964,79495.94655187747,-9936.993177994309,-0.0002034505535037221,0.0136943331372168
S5_MINUS,secondary,5,-1e-06,9,37,-0.004882750000001563,61491.51352551406,-3843.219573534734,0.002733788229219231,0.002886376080355141
S6_PLUS,secondary,6,1e-06,1,7,-0.01464843749999994,125579.9512059364,-7848.746950371025,0,0
S6_PLUS,secondary,6,1e-06,2,11,-0.01123050005804288,110626.9239125916,-13828.36549407092,0.004183509882892612,0.004564989394146549
S6_PLUS,secondary,6,1e-06,3,15,-0.01269550000001682,110933.6229862639,-6933.351349834275,0.004107280938166438,0.00930171330387442
S6_PLUS,secondary,6,1e-06,4,23,-0.008789062500000038,92621.04469627411,-11577.63058703426,0,0
S6_PLUS,secondary,6,1e-06,5,25,-0.009033296755369983,89875.43851269575,-22468.85928181683,0.01435629883443918,0.0005594889107417085
S6_PLUS,secondary,6,1e-06,6,27,-0.006836499635112865,77976.12085649633,-9747.014820389644,0.01265275872864941,0.001500447323745314
S6_PLUS,secondary,6,1e-06,7,33,-0.006835937500000012,76141.47441800719,-4758.842151125449,0,0
S6_PLUS,secondary,6,1e-06,8,35,-0.008300812437813759,79498.9933916117,-9937.37408957673,0.003318845074011998,-0.002886522542292287
S6_PLUS,secondary,6,1e-06,9,37,-0.004883000000006419,61495.14546638126,-3843.446569871553,0.002733989973955017,-0.004800370596497974
S6_MINUS,secondary,6,-1e-06,1,7,-0.01464843749999994,125579.7167628061,-7848.73229767538,0,0
S6_MINUS,secondary,6,-1e-06,2,11,-0.01123043744195508,110625.5174935068,-13828.18968151849,-0.004183392786912536,-0.004564852727679271
S6_MINUS,secondary,6,-1e-06,3,15,-0.01269512500001684,110929.169981834,-6933.073210104765,-0.004107033840934577,-0.00930129369290994
S6_MINUS,secondary,6,-1e-06,4,23,-0.008789062500000038,92620.65452246646,-11577.58181530831,0,0
S6_MINUS,secondary,6,-1e-06,5,25,-0.009033109494624842,89873.0966434468,-22468.27450717665,-0.01435565591806571,-0.000559488953743666
S6_MINUS,secondary,6,-1e-06,6,27,-0.006835375364818145,77968.70336185445,-9746.08820662027,-0.01265139979958077,-0.001500447858118677
S6_MINUS,secondary,6,-1e-06,7,33,-0.006835937500000012,76141.24042574309,-4758.827526608943,0,0
S6_MINUS,secondary,6,-1e-06,8,35,-0.00830075006218795,79497.58863967641,-9937.198664296004,-0.003318728168618318,0.00288638598616006
S6_MINUS,secondary,6,-1e-06,9,37,-0.004882625000006464,61490.69437746213,-3843.168420287718,-0.002733742773741691,0.004799950854744406
S7_PLUS,secondary,7,1e-06,1,7,-0.01464843749999994,125580.019516153,-7848.751219759564,0,0
S7_PLUS,secondary,7,1e-06,2,11,-0.01123046874999997,110626.2792515341,-13828.28490644177,0,0
S7_PLUS,secondary,7,1e-06,3,15,-0.0126953125,110931.4062348854,-6933.212889680338,0,0
S7_PLUS,secondary,7,1e-06,4,23,-0.008789156250009573,92621.96280744483,-11577.74532901975,-0.003344326141703537,0.006974695621068627
S7_PLUS,secondary,7,1e-06,5,25,-0.009033218725816718,89874.61886598864,-22468.65465289872,-0.003522288322147773,0.003573150998603634
S7_PLUS,secondary,7,1e-06,6,27,-0.006835937500000023,77972.47060855145,-9746.558826068931,0,0
S7_PLUS,secondary,7,1e-06,7,33,-0.006836500000015866,76144.8824436982,-4759.055116583237,-0.006173784090308619,0.006224646776237287
S7_PLUS,secondary,7,1e-06,8,35,-0.008300874842464011,79499.4033153502,-9937.425301859335,-0.006720382220991412,0.003293463455976747
S7_PLUS,secondary,7,1e-06,9,37,-0.004882812499999989,61493.10515825546,-3843.319072390966,0,0
