id,x,y,z,temperature,displacement_x,displacement_y,displacement_z
132,0,0.0050000000000000001,0,600,-2.648690662987312e-36,4.876052738763034e-37,-1.3392437111094492e-36
133,0.001,0.0050000000000000001,0.00025000000000000001,622.05895382061465,2.0128674925328682e-07,3.039852720315981e-07,-5.3428155117430372e-07
134,0,0.0050000000000000001,0.00025000000000000001,626.26163778141347,-3.5813994389958027e-36,2.6737041160938382e-36,-3.1550685849985219e-36
135,0.002,0.0050000000000000001,0,600,-1.1689578640256143e-07,3.5609854345024441e-07,-1.6169184984415275e-06
136,0.002,0.0050000000000000001,0.00025000000000000001,617.87102760476512,2.3243889222661513e-07,5.6792400548924034e-07,-1.7060103190125307e-06
137,0.0030000000000000001,0.0050000000000000001,0,600,-6.758677858580171e-08,2.5929762597537613e-07,-3.5522323477800049e-06
138,0.0030000000000000001,0.0050000000000000001,0.00025000000000000001,618.79475507555787,6.0247239973970666e-07,5.234477493532745e-07,-3.5782833646182933e-06
139,0.0040000000000000001,0.0050000000000000001,0,600,-2.8524406670499133e-08,2.4194557502901253e-07,-6.1272730858049382e-06
140,0.0040000000000000001,0.0050000000000000001,0.00025000000000000001,618.59251524774038,6.4807090921262774e-07,5.5467483925104273e-07,-6.2075378861265635e-06
141,0.0050000000000000001,0.0050000000000000001,0,600,1.8486428255803876e-08,1.5745981384152773e-07,-9.493652641441587e-06
142,0.0050000000000000001,0.0050000000000000001,0.00025000000000000001,618.63701423281088,1.0373786078199006e-06,5.0438831022685251e-07,-9.5189570144284936e-06
143,0.0060000000000000001,0.0050000000000000001,0,600,5.7516676904212185e-08,1.4639337563840393e-07,-1.3497603686590109e-05
144,0.0060000000000000001,0.0050000000000000001,0.00025000000000000001,618.62536106974426,1.0721965337577767e-06,4.9564462391962171e-07,-1.3570925044664545e-05
145,0.007000000000000001,0.0050000000000000001,0,600,8.4572742586620519e-08,1.0355168908576712e-07,-1.8272868918848143e-05
146,0.007000000000000001,0.0050000000000000001,0.00025000000000000001,618.63701423281088,1.4511382547506398e-06,4.7936713998193283e-07,-1.8300273448392972e-05
147,0.0080000000000000002,0.0050000000000000001,0,600,1.3773825414808199e-07,1.053822843534566e-07,-2.3689104601130325e-05
148,0.0080000000000000002,0.0050000000000000001,0.00025000000000000001,618.59251524774038,1.495653815445187e-06,4.6504634373379313e-07,-2.375708317538545e-05
149,0.0090000000000000011,0.0050000000000000001,0,600,1.3772396868919364e-07,7.7295785796124421e-08,-2.9869551223384254e-05
150,0.0090000000000000011,0.0050000000000000001,0.00025000000000000001,618.79475507555787,1.8578823515123925e-06,4.5461729883823611e-07,-2.9899906760494835e-05
151,0.01,0.0050000000000000001,0,600,2.1153632873240694e-07,6.7096160395025692e-08,-3.6699855266180098e-05
152,0.01,0.0050000000000000001,0.00025000000000000001,617.87102760476512,1.9104720161786849e-06,4.1883374937624213e-07,-3.6764317657430161e-05
153,0.010999999999999999,0.0050000000000000001,0,600,1.7083400756248383e-07,3.3463387295800039e-08,-4.4276591740249046e-05
154,0.010999999999999999,0.0050000000000000001,0.00025000000000000001,622.05895382061465,2.2563474619575555e-06,4.0206668918685277e-07,-4.42771662495761e-05
155,0.012,0.0050000000000000001,0,600,2.8327758247982404e-07,3.9169087589051543e-08,-5.2282830869496921e-05
156,0.012,0.0050000000000000001,0.00025000000000000001,626.26163778141336,2.2243912945601177e-06,3.3455934388360587e-07,-5.2275640955645286e-05
157,0.001,0.0060000000000000001,0,600,-4.6676979166436984e-07,3.4502054080040638e-07,-1.1208962673302789e-06
158,0,0.0060000000000000001,0,600,7.5517564162912858e-47,-5.9186716840419901e-47,-2.6415333340259853e-47
159,0.001,0.0060000000000000001,0.00025000000000000001,626.26218051399269,-1.1300925811741782e-07,5.4411676873584956e-07,-1.0381254238059595e-06
160,0,0.0060000000000000001,0.00025000000000000001,624.46380699039719,-4.6278857287797569e-36,2.387118245074298e-36,-3.5547603726435825e-36
161,0.002,0.0060000000000000001,0,600,-1.9205302680839643e-07,3.4906095327158845e-07,-2.5615334916133615e-06
162,0.002,0.0060000000000000001,0.00025000000000000001,628.0550931431477,1.3821276234016036e-07,6.05102642922569e-07,-2.5425163286282513e-06
163,0.0030000000000000001,0.0060000000000000001,0,600,-2.4069525243062336e-07,3.5294979946919294e-07,-4.8393163379403843e-06
164,0.0030000000000000001,0.0060000000000000001,0.00025000000000000001,627.65680856934307,4.1437918050579421e-07,7.2789199565757775e-07,-4.7555606087886996e-06
165,0.0040000000000000001,0.0060000000000000001,0,600,1.5309687755392895e-08,2.4176679474279966e-07,-7.5917941403121183e-06
166,0.0040000000000000001,0.0060000000000000001,0.00025000000000000001,627.74688183968067,7.0525057140065876e-07,6.5580988242108357e-07,-7.5693644320578638e-06
167,0.0050000000000000001,0.0060000000000000001,0,600,-7.2038144699427218e-08,2.2940182847136978e-07,-1.1072400927896575e-05
168,0.0050000000000000001,0.0060000000000000001,0.00025000000000000001,627.72621687528556,9.1710147794374954e-07,6.62981475761978e-07,-1.0984442591653502e-05
169,0.0060000000000000001,0.0060000000000000001,0,600,1.2554796874054431e-07,1.6453577559644592e-07,-1.5140983020982805e-05
170,0.0060000000000000001,0.0060000000000000001,0.00025000000000000001,627.73189620192841,1.1611537516767491e-06,6.3259426492266879e-07,-1.5118676969126083e-05
171,0.007000000000000001,0.0060000000000000001,0,600,2.2901470347736226e-08,1.570201871615001e-07,-1.9957766192205336e-05
172,0.007000000000000001,0.0060000000000000001,0.00025000000000000001,627.72621687528556,1.3715474815217436e-06,6.1323245067327323e-07,-1.9868498404277976e-05
173,0.0080000000000000002,0.0060000000000000001,0,600,2.0771708122974261e-07,1.3366172757290178e-07,-2.5376542298014002e-05
174,0.0080000000000000002,0.0060000000000000001,0.00025000000000000001,627.74688183968067,1.5758690186805167e-06,6.1270343513153876e-07,-2.5353851846841939e-05
175,0.0090000000000000011,0.0060000000000000001,0,600,1.0589404081024629e-07,1.2034090437179087e-07,-3.1559757597703186e-05
176,0.0090000000000000011,0.0060000000000000001,0.00025000000000000001,627.65680856934296,1.8173468946505175e-06,5.8033905708332632e-07,-3.1471046473707543e-05
177,0.01,0.0060000000000000001,0,600,2.7198985143847579e-07,1.1147959429746421e-07,-3.833525700522717e-05
178,0.01,0.0060000000000000001,0.00025000000000000001,628.0550931431477,1.9721657329188615e-06,5.6861175067294926e-07,-3.8309451132373004e-05
179,0.010999999999999999,0.0060000000000000001,0,600,1.4696247323023235e-07,7.0554756319244667e-08,-4.5858431460994787e-05
