case	metric	value
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_sliding_slip_relative_l2	3.096815203887e-12
b1212_cax8rt_small_friction	rz_sliding_slip_relative_absolute_peak	2.319042085550e-14
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_pointwise_relative	4.702888399990e-10
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_pointwise_relative_index	1
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_pointwise_relative_actual	3.143777140526e-07
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_pointwise_relative_reference	3.143777139048e-07
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_absolute_difference_index	1
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_absolute_difference_actual	3.143777140526e-07
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_absolute_difference_reference	3.143777139048e-07
b1212_cax8rt_small_friction	rz_sliding_slip_zero_reference_count	0
b1212_cax8rt_small_friction	rz_sliding_slip_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_sliding_normal_force_relative_l2	2.592894775169e-10
b1212_cax8rt_small_friction	rz_sliding_normal_force_relative_absolute_peak	1.621119022642e-12
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_pointwise_relative	1.089628591786e-09
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_pointwise_relative_index	1
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_pointwise_relative_actual	4.257587867035e+00
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_pointwise_relative_reference	4.257587871674e+00
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_absolute_difference_index	3
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_absolute_difference_actual	1.961141228497e+01
b1212_cax8rt_small_friction	rz_sliding_normal_force_maximum_absolute_difference_reference	1.961141230098e+01
b1212_cax8rt_small_friction	rz_sliding_normal_force_zero_reference_count	0
